Scenario,Model,Accuracy,AUC,F1 Score
Clean,RandomForest_Tuned,0.6733333333333333,0.6534391534391535,0.776255707762557
Clean,XGBoost_Tuned,0.6466666666666666,0.6399999999999999,0.7534883720930232
Clean,VotingClassifier,0.6533333333333333,0.6505820105820106,0.7636363636363637
Test,RandomForest_Final,0.74,0.7666666666666666,0.821917808219178
Test,VotingClassifier_Final,0.7666666666666667,0.7864550264550264,0.8401826484018264
Labelflipping,RandomForest_Poisoned,0.66,0.6737566137566138,0.7692307692307693
Labelflipping,XGBoost_Poisoned,0.6266666666666667,0.6084656084656085,0.7407407407407407
Labelflipping,VotingClassifier_Poisoned,0.6533333333333333,0.6471957671957671,0.7614678899082569
Featuremanipulation,RandomForest_Poisoned,0.6866666666666666,0.6717460317460315,0.7873303167420814
Featuremanipulation,XGBoost_Poisoned,0.6533333333333333,0.6613756613756614,0.7570093457943925
Featuremanipulation,VotingClassifier_Poisoned,0.6733333333333333,0.6713227513227513,0.7741935483870968
Backdoorattack,RandomForest_Poisoned,0.66,0.6822222222222223,0.7733333333333333
Backdoorattack,XGBoost_Poisoned,0.68,0.6351322751322751,0.7798165137614679
Backdoorattack,VotingClassifier_Poisoned,0.6866666666666666,0.668994708994709,0.7853881278538812
Injectionattack,RandomForest_Poisoned,0.6666666666666666,0.6902645502645504,0.7727272727272727
Injectionattack,XGBoost_Poisoned,0.6333333333333333,0.6531216931216931,0.7488584474885844
Injectionattack,VotingClassifier_Poisoned,0.66,0.6721693121693122,0.7692307692307693
Labelflipping Test,RandomForest_Poisoned,0.76,0.7667724867724868,0.8363636363636363
Labelflipping Test,XGBoost_Poisoned,0.7266666666666667,0.7441269841269841,0.8093023255813954
Labelflipping Test,VotingClassifier_Poisoned,0.76,0.7640211640211639,0.8378378378378378
Featuremanipulation Test,RandomForest_Poisoned,0.7466666666666667,0.7683597883597884,0.8272727272727273
Featuremanipulation Test,XGBoost_Poisoned,0.7333333333333333,0.794074074074074,0.8165137614678899
Featuremanipulation Test,VotingClassifier_Poisoned,0.76,0.7851851851851852,0.8363636363636363
Backdoorattack Test,RandomForest_Poisoned,0.7533333333333333,0.7731216931216931,0.832579185520362
Backdoorattack Test,XGBoost_Poisoned,0.7733333333333333,0.804021164021164,0.8425925925925926
Backdoorattack Test,VotingClassifier_Poisoned,0.7666666666666667,0.7976719576719576,0.8401826484018264
Injectionattack Test,RandomForest_Poisoned,0.7333333333333333,0.7626455026455026,0.8181818181818182
Injectionattack Test,XGBoost_Poisoned,0.7266666666666667,0.7923809523809524,0.8093023255813954
Injectionattack Test,VotingClassifier_Poisoned,0.76,0.7853968253968254,0.8348623853211009
